rank,company,revenue ($ millions),profit ($ millions),Sector
342,Dollar Tree,7840.0,597.0,Consumer Defensive
343,Corning,7819.0,1961.0,Technology
344,Ashland,7813.0,683.0,Basic Materials
345,Sealed Air,7780.0,124.0,Consumer Cyclical
346,Core-Mark Holding,7717.0,42.0,Consumer Defensive
347,Oshkosh,7686.0,318.0,Industrials
348,Coca-Cola Enterprises,7657.0,667.0,Consumer Defensive
349,Wesco International,7513.0,276.0,Industrials
350,Applied Materials,7509.0,256.0,Technology
351,Visteon,7439.0,690.0,Consumer Cyclical
352,BorgWarner,7437.0,624.0,Consumer Cyclical
353,Spectrum Group International,7406.0,3.0,Consumer Cyclical
354,Oaktree Capital Group,7405.0,222.0,Financial Services
355,Steel Dynamics,7373.0,189.0,Basic Materials
356,Jarden,7356.0,204.0,Consumer Cyclical
357,Mohawk Industries,7349.0,349.0,Consumer Cyclical
358,Terex,7310.0,226.0,Industrials
359,Northeast Utilities,7301.0,786.0,Utilities
360,KBR,7283.0,229.0,Industrials
361,Fifth Third Bancorp,7200.0,1836.0,Financial Services
362,UGI,7195.0,278.0,Utilities
363,CBRE Group,7194.0,317.0,Real Estate
364,Quest Diagnostics,7174.0,849.0,Healthcare
365,Peabody Energy,7150.0,-525.0,Energy
366,Hershey,7146.0,821.0,Consumer Defensive
367,Boston Scientific,7143.0,-121.0,Healthcare
368,FMC Technologies,7126.0,501.0,Energy
369,Interpublic Group,7122.0,268.0,Communication Services
370,Commercial Metals,7047.0,77.0,Basic Materials
371,Pantry,7013.0,-3.0,Consumer Defensive
372,Owens-Illinois,6967.0,184.0,Consumer Cyclical
373,American Family Insurance Group,6954.0,379.0,Financial Services
374,Ralph Lauren,6945.0,750.0,Consumer Cyclical
375,Biogen Idec,6932.0,1862.0,Healthcare
376,PetSmart,6917.0,420.0,Consumer Cyclical
377,Mylan,6909.0,624.0,Healthcare
378,Symantec,6906.0,765.0,Technology
379,Ameren,6875.0,289.0,Utilities
380,Williams,6860.0,430.0,Energy
381,Barnes & Noble,6839.0,-158.0,Consumer Cyclical
382,Huntington Ingalls Industries,6820.0,261.0,Industrials
383,Priceline Group,6793.0,1893.0,Consumer Cyclical
384,Agilent Technologies,6782.0,724.0,Healthcare
385,Dana Holding,6769.0,244.0,Consumer Cyclical
386,Dillard's,6692.0,324.0,Consumer Cyclical
387,Seaboard,6670.0,205.0,Industrials
388,Vanguard Health Systems,6667.0,62.0,Healthcare
389,Casey's General Stores,6655.0,111.0,Consumer Cyclical
390,O'Reilly Automotive,6649.0,670.0,Consumer Cyclical
391,Blackstone Group,6613.0,1171.0,Financial Services
392,Mutual of Omaha Insurance,6602.0,359.0,Financial Services
393,Molina Healthcare,6589.0,53.0,Healthcare
394,CMS Energy,6566.0,452.0,Utilities
395,Targa Resources,6556.0,65.0,Energy
396,Quanta Services,6523.0,402.0,Industrials
397,Cablevision Systems,6522.0,466.0,Communication Services
398,Avery Dennison,6520.0,216.0,Consumer Cyclical
399,Celanese,6510.0,1101.0,Basic Materials
400,Foot Locker,6505.0,429.0,Consumer Cyclical
401,Celgene,6494.0,1450.0,Healthcare
402,Advance Auto Parts,6494.0,392.0,Consumer Cyclical
403,Mattel,6485.0,904.0,Consumer Cyclical
404,Live Nation Entertainment,6479.0,-43.0,Communication Services
405,General Cable,6421.0,-18.0,Industrials
406,Ryder System,6419.0,238.0,Industrials
407,Emcor Group,6417.0,124.0,Industrials
408,Allergan,6415.0,985.0,Healthcare
409,W.R. Berkley,6409.0,500.0,Financial Services
410,Rockwell Automation,6352.0,756.0,Industrials
411,NetApp,6332.0,505.0,Technology
412,Ingredion,6328.0,396.0,Consumer Defensive
413,Level 3 Communications,6313.0,-109.0,Communication Services
414,Calpine,6301.0,14.0,Utilities
415,Omnicare,6277.0,-43.0,Healthcare
416,Erie Insurance Group,6271.0,163.0,Financial Services
417,SLM,6263.0,1418.0,Financial Services
418,D.R. Horton,6259.0,463.0,Consumer Cyclical
419,CC Media Holdings,6243.0,-607.0,Communication Services
420,Anixter International,6227.0,201.0,Industrials
421,Dick's Sporting Goods,6213.0,338.0,Consumer Cyclical
422,SanDisk,6170.0,1043.0,Technology
423,NCR,6123.0,443.0,Technology
424,Starwood Hotels & Resorts,6115.0,635.0,Real Estate
425,Expeditors International of Washington,6080.0,349.0,Industrials
426,Fidelity National Information Services,6071.0,493.0,Technology
427,United Natural Foods,6064.0,108.0,Consumer Defensive
428,Auto-Owners Insurance,6062.0,579.0,Financial Services
429,Windstream Holdings,6005.0,241.0,Communication Services
430,Dr Pepper Snapple Group,5997.0,624.0,Consumer Defensive
431,Lennar,5935.0,480.0,Consumer Cyclical
432,Sanmina,5917.0,79.0,Technology
433,Harley-Davidson,5900.0,734.0,Consumer Cyclical
434,Consol Energy,5899.0,660.0,Energy
435,J.M. Smucker,5898.0,544.0,Consumer Defensive
436,Newell Rubbermaid,5887.0,475.0,Consumer Defensive
437,CH2M Hill,5878.0,118.0,Industrials
438,Energy Future Holdings,5850.0,-2587.0,Energy
